pair,session,session_start_hour_utc,n_significant,n_traps,trap_rate_pct
AUDNZD,NY,17,18,16,88.88888888888889
NZDCHF,NY,17,19,13,68.42105263157895
CHFJPY,NY,17,18,12,66.66666666666666
NZDCAD,NY,17,25,16,64.0
EURNZD,NY,17,22,14,63.63636363636363
GBPNZD,NY,17,22,14,63.63636363636363
CADCHF,Asia,0,21,13,61.904761904761905
USDCAD,Asia,0,23,13,56.52173913043478
USDJPY,NY,17,18,10,55.55555555555556
EURCHF,NY,17,17,9,52.94117647058824
GBPCHF,NY,17,20,10,50.0
AUDCHF,NY,17,18,9,50.0
NZDCHF,Overlap,13,18,9,50.0
AUDCHF,London,7,16,8,50.0
AUDCAD,NY,17,25,12,48.0
EURUSD,Asia,0,23,11,47.82608695652174
USDCAD,London,7,23,11,47.82608695652174
NZDJPY,NY,17,23,11,47.82608695652174
EURGBP,NY,17,21,10,47.61904761904761
EURCHF,Asia,0,17,8,47.05882352941176
USDCHF,Asia,0,24,11,45.83333333333333
GBPAUD,NY,17,24,11,45.83333333333333
GBPUSD,Asia,0,20,9,45.0
EURNZD,London,7,27,12,44.44444444444444
EURCAD,Asia,0,16,7,43.75
AUDJPY,NY,17,21,9,42.857142857142854
NZDCHF,Asia,0,21,9,42.857142857142854
GBPNZD,Overlap,13,17,7,41.17647058823529
AUDCHF,Asia,0,17,7,41.17647058823529
EURAUD,London,7,22,9,40.909090909090914
CADCHF,NY,17,22,9,40.909090909090914
AUDNZD,Overlap,13,20,8,40.0
AUDUSD,NY,17,28,11,39.285714285714285
GBPJPY,NY,17,18,7,38.88888888888889
GBPAUD,Overlap,13,13,5,38.46153846153847
EURCHF,London,7,24,9,37.5
GBPCAD,London,7,24,9,37.5
AUDCAD,London,7,27,10,37.03703703703704
EURGBP,Asia,0,19,7,36.84210526315789
EURAUD,NY,17,25,9,36.0
GBPCAD,Asia,0,25,9,36.0
GBPCHF,Asia,0,14,5,35.714285714285715
AUDUSD,London,7,20,7,35.0
AUDUSD,Asia,0,20,7,35.0
GBPJPY,Asia,0,26,9,34.61538461538461
EURJPY,Asia,0,21,7,33.33333333333333
AUDCAD,Asia,0,21,7,33.33333333333333
EURAUD,Overlap,13,18,6,33.33333333333333
EURCAD,Overlap,13,18,6,33.33333333333333
GBPJPY,London,7,22,7,31.818181818181817
CADJPY,Asia,0,22,7,31.818181818181817
CADJPY,London,7,22,7,31.818181818181817
AUDUSD,Overlap,13,16,5,31.25
AUDJPY,London,7,23,7,30.434782608695656
NZDCAD,London,7,23,7,30.434782608695656
NZDUSD,London,7,20,6,30.0
EURCAD,London,7,20,6,30.0
AUDNZD,London,7,21,6,28.57142857142857
GBPAUD,London,7,18,5,27.77777777777778
CADCHF,Overlap,13,18,5,27.77777777777778
EURJPY,NY,17,22,6,27.27272727272727
NZDCHF,London,7,15,4,26.666666666666668
GBPUSD,London,7,19,5,26.31578947368421
NZDJPY,London,7,24,6,25.0
AUDCAD,Overlap,13,24,6,25.0
NZDUSD,Asia,0,20,5,25.0
NZDUSD,Overlap,13,20,5,25.0
NZDUSD,NY,17,25,6,24.0
EURGBP,Overlap,13,21,5,23.809523809523807
EURCHF,Overlap,13,21,5,23.809523809523807
GBPAUD,Asia,0,21,5,23.809523809523807
NZDCAD,Asia,0,21,5,23.809523809523807
AUDJPY,Overlap,13,17,4,23.52941176470588
CHFJPY,Asia,0,17,4,23.52941176470588
AUDJPY,Asia,0,22,5,22.727272727272727
EURNZD,Asia,0,18,4,22.22222222222222
USDCHF,London,7,19,4,21.052631578947366
GBPNZD,Asia,0,19,4,21.052631578947366
CADJPY,NY,17,19,4,21.052631578947366
USDJPY,Asia,0,24,5,20.833333333333336
USDJPY,London,7,25,5,20.0
GBPCHF,Overlap,13,20,4,20.0
NZDJPY,Overlap,13,20,4,20.0
NZDJPY,Asia,0,26,5,19.230769230769234
GBPUSD,NY,17,21,4,19.047619047619047
EURNZD,Overlap,13,21,4,19.047619047619047
GBPCHF,London,7,17,3,17.647058823529413
GBPNZD,London,7,17,3,17.647058823529413
GBPJPY,Overlap,13,24,4,16.666666666666664
CADJPY,Overlap,13,24,4,16.666666666666664
GBPCAD,Overlap,13,18,3,16.666666666666664
CHFJPY,Overlap,13,25,4,16.0
USDCHF,NY,17,19,3,15.789473684210526
NZDCAD,Overlap,13,26,4,15.384615384615385
EURAUD,Asia,0,20,3,15.0
EURUSD,Overlap,13,21,3,14.285714285714285
GBPUSD,Overlap,13,21,3,14.285714285714285
EURJPY,London,7,21,3,14.285714285714285
AUDNZD,Asia,0,21,3,14.285714285714285
EURJPY,Overlap,13,22,3,13.636363636363635
CHFJPY,London,7,23,3,13.043478260869565
USDCAD,NY,17,24,3,12.5
USDCHF,Overlap,13,19,2,10.526315789473683
EURUSD,NY,17,21,2,9.523809523809524
GBPCAD,NY,17,24,2,8.333333333333332
AUDCHF,Overlap,13,15,1,6.666666666666667
EURUSD,London,7,18,1,5.555555555555555
USDJPY,Overlap,13,19,1,5.263157894736842
USDCAD,Overlap,13,19,1,5.263157894736842
EURCAD,NY,17,18,0,0.0
EURGBP,London,7,17,0,0.0
CADCHF,London,7,14,0,0.0
